"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",10,4,3,7,6,9,1,6,19,5,2,13,14,7,2,11,1,4,8,9,7,5,8,6,3,7,4,4,10,14,8,7,9,3,12,13,13,7,5,9,8,7,5,7,13,8,13,6,3,7,3,7,11,10,10,5,6,5,8,4,2,5,2,3,17,2,0,2,6,13,4,1,1,7,7,4,1,7,7,5,2,8,11,5,8,7,1,8,14,10,4,7,14,2,5,1,5,6,2,6,1,5,7,0
"Oberösterreich-urban",8,19,19,19,24,20,13,21,23,18,29,18,17,23,12,4,19,14,22,25,23,26,12,19,42,26,14,7,8,6,23,12,11,11,26,17,22,21,36,26,17,23,22,10,32,8,16,19,17,19,8,7,8,37,3,5,21,18,5,18,19,13,16,13,14,8,16,12,18,14,16,18,12,23,24,20,2,14,22,26,19,12,18,12,13,12,5,14,11,20,7,24,22,17,11,14,14,23,24,9,13,17,13,3
"Salzburg-urban",10,7,12,9,9,13,5,19,17,7,16,14,9,12,6,12,9,8,6,5,5,9,12,9,13,12,16,19,11,9,11,12,6,18,21,22,14,23,15,16,11,8,12,10,7,10,4,3,10,12,5,5,4,15,5,19,3,18,15,11,9,13,4,14,10,4,9,5,8,8,9,11,6,8,12,3,1,6,6,17,11,2,8,10,4,5,15,14,25,7,24,17,11,9,15,7,12,16,5,8,12,13,3,1
"Steiermark-urban",14,21,33,26,26,35,30,21,41,26,22,26,35,18,20,24,32,27,30,24,36,26,39,31,40,50,56,37,50,60,60,48,35,48,44,66,91,61,62,68,62,51,55,38,57,74,59,55,37,50,80,15,36,34,32,28,43,40,45,43,50,34,40,11,15,12,18,17,18,10,9,15,8,10,24,5,6,40,22,22,19,14,22,30,9,15,34,30,36,37,23,37,28,27,22,5,16,17,19,23,18,18,21,1
"Tirol-urban",3,8,3,15,7,9,14,10,15,7,19,6,12,9,11,12,5,5,3,9,6,14,5,11,4,4,10,2,9,5,7,5,5,7,7,8,8,5,8,11,9,7,1,6,9,3,7,3,4,11,6,9,8,9,2,6,12,10,11,4,3,8,9,10,6,14,8,18,5,5,11,5,3,4,15,1,0,8,1,8,3,5,7,7,7,1,6,6,15,10,13,9,5,5,3,2,1,7,5,8,14,9,6,1
"Wien-urban",196,240,278,213,266,199,240,238,230,240,275,289,220,162,196,166,166,168,197,198,192,193,180,212,243,237,241,266,183,255,245,248,248,277,308,287,284,303,274,298,234,233,208,178,207,237,211,242,259,190,221,129,124,208,217,124,312,251,165,205,212,228,260,253,226,250,176,162,226,230,214,246,258,194,253,241,45,245,153,159,126,155,119,112,105,159,169,146,218,214,227,181,174,193,237,164,173,156,149,133,128,143,137,74
"Burgenland-intermediate",2,3,3,3,3,2,2,3,1,1,3,1,3,7,3,0,9,2,0,2,1,2,5,6,4,9,8,4,0,2,5,12,2,5,13,15,7,10,13,16,9,5,3,5,2,2,8,3,3,3,7,4,6,5,4,2,7,4,0,5,4,0,3,0,1,2,6,1,4,2,0,3,4,0,3,8,1,4,5,5,2,5,0,11,5,6,3,0,8,3,4,3,4,3,5,5,5,3,1,3,2,3,2,2
"Kärnten-intermediate",6,3,2,6,4,9,7,14,12,3,6,30,15,35,11,14,12,3,5,9,16,20,19,24,25,28,25,15,6,34,23,20,11,19,24,34,10,6,21,51,14,33,7,7,11,8,11,23,9,6,14,8,12,14,7,6,6,9,3,8,8,8,1,2,8,1,1,3,11,1,6,8,10,12,15,12,1,9,5,11,9,7,5,16,7,9,4,12,12,14,8,24,7,17,2,6,7,23,19,21,15,14,63,9
"Niederösterreich-intermediate",32,60,47,52,52,43,63,40,77,45,35,56,56,23,29,32,49,30,44,43,22,33,22,53,26,52,52,52,35,39,37,58,40,45,96,52,53,58,42,50,39,285,318,128,36,39,24,32,25,40,34,14,39,72,35,27,42,29,39,32,36,52,46,33,28,25,30,34,31,36,33,45,39,25,41,31,18,51,27,35,33,27,34,24,29,50,66,41,55,58,54,45,163,90,85,83,38,25,21,35,16,18,27,12
"Oberösterreich-intermediate",34,25,28,46,45,46,44,43,50,32,53,41,29,44,17,23,33,25,18,25,30,37,30,36,18,41,55,32,43,33,33,26,38,39,44,59,50,40,48,34,30,117,34,49,41,27,39,25,16,20,44,14,17,60,25,20,43,35,21,24,46,20,31,29,22,35,21,36,29,22,16,17,26,42,49,48,7,48,32,31,38,29,46,26,27,27,34,39,44,31,32,40,30,26,29,18,24,21,37,34,18,38,39,9
"Salzburg-intermediate",5,16,12,13,14,11,8,12,4,8,5,10,5,16,4,10,7,10,9,20,5,11,11,23,13,6,17,8,10,6,15,6,16,4,6,18,27,18,9,11,16,8,9,6,14,24,23,6,5,7,8,1,10,82,7,6,20,7,4,9,8,11,15,13,13,8,4,14,6,4,7,5,1,9,6,5,0,2,6,7,10,4,4,12,7,5,4,4,9,16,5,17,6,3,9,9,7,9,4,11,14,6,2,1
"Steiermark-intermediate",13,15,14,25,27,16,18,31,31,19,14,19,19,14,16,25,16,12,16,20,21,20,10,18,30,14,16,32,33,11,35,11,25,32,30,42,30,31,28,56,52,23,19,20,17,32,19,33,16,14,18,3,10,38,12,7,31,17,11,5,14,22,13,18,16,8,15,19,21,13,16,21,10,22,31,21,7,28,18,25,18,17,12,17,16,20,17,27,44,28,24,16,15,28,27,23,31,11,20,15,18,17,15,2
"Tirol-intermediate",29,12,16,10,25,16,11,14,21,12,15,11,17,15,11,16,17,20,10,8,25,15,17,16,11,11,26,17,9,11,19,7,10,9,20,21,13,19,14,14,18,23,11,8,14,14,4,7,8,14,19,3,8,22,12,4,17,4,14,22,11,10,11,18,8,21,14,11,19,10,11,9,12,10,12,15,5,11,16,21,11,12,5,15,15,9,10,14,11,13,13,18,6,14,9,13,14,9,4,15,7,14,10,3
"Vorarlberg-intermediate",13,17,29,15,27,29,15,30,36,22,17,15,31,19,14,24,27,24,19,11,14,23,16,11,19,26,20,17,11,8,12,13,20,16,27,34,35,18,22,17,20,17,13,22,17,22,19,17,17,17,9,12,13,28,15,16,30,15,18,17,12,22,17,13,31,7,8,11,6,24,11,20,9,17,26,15,7,21,14,14,12,16,13,16,12,18,13,23,12,11,24,18,12,7,13,11,18,7,19,14,12,18,10,4
"Burgenland-rural",4,13,9,4,28,6,14,14,9,7,1,10,8,5,8,5,6,7,9,11,9,9,3,6,9,20,20,6,6,4,15,8,3,4,12,13,14,12,11,13,9,10,14,9,8,11,14,8,10,9,6,9,7,9,8,6,8,13,12,11,16,12,16,9,5,5,2,12,5,5,2,14,9,11,16,7,0,9,5,6,1,1,9,16,15,9,11,15,8,6,12,7,15,3,10,10,10,2,10,7,10,22,29,0
"Kärnten-rural",16,21,15,31,20,37,7,36,36,29,32,26,20,13,54,18,21,23,28,43,37,13,37,34,29,44,27,23,27,31,20,22,49,25,42,24,17,43,52,34,33,22,22,73,56,30,38,50,13,37,32,7,36,11,39,7,65,39,15,28,30,24,51,27,19,28,17,26,29,31,30,39,12,41,10,18,2,17,17,12,8,10,17,3,12,8,16,10,13,20,36,42,24,23,42,13,5,10,14,4,8,7,12,1
"Niederösterreich-rural",17,31,41,17,31,23,22,16,36,20,37,31,19,29,16,20,23,14,4,14,11,18,14,19,16,29,33,24,22,18,20,20,13,16,40,37,28,19,17,21,18,16,15,22,25,22,14,18,9,21,19,3,2,29,24,4,24,12,10,10,19,23,28,13,27,11,28,16,15,10,16,17,18,14,16,16,5,26,21,40,19,12,20,10,16,20,34,33,15,20,38,19,14,20,28,13,19,16,18,15,7,28,43,6
"Oberösterreich-rural",16,28,25,35,27,19,44,15,28,20,49,73,32,26,20,26,30,19,36,31,27,19,24,50,29,26,43,30,21,22,43,46,29,30,25,38,52,23,32,30,25,32,26,17,43,23,26,26,25,24,46,6,17,36,25,9,37,31,18,22,37,30,19,19,18,18,34,24,34,34,11,23,27,29,35,22,4,47,19,33,13,14,17,26,8,37,26,15,23,29,18,29,40,27,29,18,29,32,27,26,14,28,17,6
"Salzburg-rural",3,5,6,5,14,11,7,13,19,12,6,12,8,4,5,11,9,4,7,9,7,7,6,9,9,9,17,9,5,7,7,4,9,6,9,3,13,11,19,12,61,78,8,20,18,26,13,11,5,3,26,2,28,43,6,8,9,7,5,13,10,9,4,11,4,6,4,14,7,3,4,8,3,3,9,3,1,9,16,4,10,11,8,14,13,10,5,14,14,13,16,17,18,11,20,8,7,10,8,17,10,9,3,8
"Steiermark-rural",20,20,30,18,34,19,29,32,67,14,15,18,27,18,16,7,18,8,12,9,18,14,9,47,15,27,41,15,18,38,15,26,8,7,34,30,36,18,58,46,47,16,19,16,14,14,12,17,10,7,9,14,20,14,9,6,11,13,1,15,6,20,7,13,10,23,24,16,14,21,22,11,9,6,16,12,1,16,4,15,21,12,21,7,16,24,22,21,27,16,21,19,10,12,17,14,15,23,12,6,14,12,14,3
"Tirol-rural",10,8,10,13,11,12,6,5,11,13,18,15,7,9,5,8,18,7,14,5,7,5,17,5,6,11,14,14,9,9,10,9,12,4,8,9,9,4,9,9,4,10,1,10,8,17,17,9,9,22,19,8,2,9,9,7,5,7,15,3,5,7,4,13,9,2,7,10,2,5,10,5,4,5,4,3,2,8,7,4,4,8,8,3,1,5,7,8,7,10,8,8,5,14,5,2,12,10,18,9,18,6,8,1
"Vorarlberg-rural",1,5,2,5,2,5,5,7,7,2,2,4,3,5,1,0,2,2,0,1,2,0,2,5,9,0,1,7,4,0,4,5,3,4,8,4,9,10,3,8,8,1,0,0,5,7,5,1,2,4,5,1,1,4,2,4,3,0,4,1,0,2,2,1,7,1,0,1,1,8,2,2,2,1,0,4,1,3,4,3,4,1,3,8,3,2,4,4,2,1,2,4,8,0,1,0,3,1,0,0,3,0,4,0
