"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",15,14,14,10,24,14,23,13,25,14,12,25,15,19,9,24,11,10,15,11,14,16,17,13,6,16,10,11,15,23,18,16,12,12,17,13,12,8,8,24,17,17,18,13,14,8,10,18,8,5,11,1,15,20,17,11,16,13,11,13,13,10,10,16,11,15,15,15,11,10,11,6,6,12,15,13,2,16,11,9,2,10,12,18,12,8,12,7,16,10,11,12,13,14,18,11,12,13,10,9,4,10,13,2
"Oberösterreich-urban",32,36,40,48,45,44,43,39,51,27,38,33,32,34,27,35,31,35,39,34,39,30,31,28,34,52,37,38,25,27,35,26,33,48,51,41,41,34,39,37,28,29,25,25,21,21,20,32,19,31,17,25,22,45,20,21,25,24,21,29,33,29,32,23,34,28,18,25,24,38,22,28,16,21,27,20,15,40,27,37,23,30,25,14,14,24,25,24,24,29,26,27,28,32,32,19,20,19,30,18,25,27,24,7
"Salzburg-urban",20,24,42,25,28,19,23,42,46,27,24,18,24,36,24,18,22,23,23,23,31,23,23,27,20,27,35,23,30,20,32,22,12,19,23,29,22,30,35,34,25,25,15,9,25,27,19,17,23,34,25,5,14,26,23,13,28,22,34,21,20,41,13,20,36,26,26,30,23,18,31,42,30,18,33,24,7,33,25,26,18,12,24,23,14,26,22,26,32,25,27,32,21,22,21,19,23,16,13,15,24,24,16,4
"Steiermark-urban",49,80,99,54,85,77,81,74,74,69,59,88,73,72,43,50,65,51,57,50,56,41,57,57,61,67,78,67,60,54,64,79,46,68,75,73,63,78,74,70,45,51,47,39,55,55,57,63,51,47,62,21,37,54,44,44,71,48,51,53,50,57,33,51,40,58,45,36,39,40,42,31,31,28,55,31,20,62,55,45,52,43,47,39,23,38,57,40,56,45,47,64,33,63,44,44,37,36,38,48,42,41,37,13
"Tirol-urban",20,32,34,33,37,24,21,26,31,31,30,16,28,31,16,24,26,27,19,11,22,30,21,29,18,21,25,24,17,18,25,22,21,23,24,29,18,12,34,36,20,15,11,18,16,15,19,18,17,20,18,8,21,25,19,15,32,17,8,22,21,21,25,29,26,26,17,19,20,21,22,14,6,14,14,26,5,28,22,34,29,13,18,22,17,21,28,14,22,20,15,23,17,15,23,9,12,20,19,14,23,19,21,2
"Wien-urban",326,484,512,403,527,433,415,469,489,371,523,466,409,394,298,397,379,315,358,285,355,370,305,336,330,334,388,380,310,358,393,372,309,349,355,433,456,354,354,414,365,350,278,328,329,297,327,319,288,309,303,169,221,398,356,254,469,365,331,345,327,349,335,333,298,329,310,275,310,312,265,321,265,266,321,318,128,401,268,282,265,276,311,309,226,311,307,294,426,355,332,337,314,310,356,264,324,344,279,306,276,291,273,102
"Burgenland-intermediate",8,8,7,7,8,7,5,12,8,3,10,5,8,6,4,6,12,7,8,28,6,10,13,6,2,9,3,3,13,4,4,5,13,8,5,15,4,8,9,16,11,9,11,13,6,7,25,9,8,7,10,7,7,9,10,6,9,8,3,10,9,7,8,3,3,10,4,5,3,4,3,3,6,5,4,6,2,8,5,16,8,4,4,17,8,5,5,8,12,5,9,16,6,10,10,6,4,8,3,7,7,9,3,4
"Kärnten-intermediate",19,22,17,14,12,15,14,15,25,11,15,18,17,12,21,16,19,10,10,16,21,29,17,24,31,29,16,15,21,31,25,31,14,20,32,28,20,13,27,40,18,29,15,13,11,12,13,14,18,13,29,6,10,14,14,21,10,10,17,14,16,13,8,11,15,8,6,3,7,9,17,10,15,18,18,12,4,31,12,20,16,11,16,18,9,16,11,19,12,15,19,21,13,14,13,12,28,19,5,14,15,16,30,4
"Niederösterreich-intermediate",71,102,79,106,88,110,99,102,122,71,91,81,98,72,56,84,91,89,96,83,71,79,62,101,62,98,102,78,79,84,101,77,68,68,85,85,83,110,113,107,94,212,202,127,88,69,71,76,68,93,79,44,63,122,69,52,99,65,68,87,89,75,88,74,71,57,61,89,66,71,69,71,73,52,85,67,47,97,56,74,72,68,53,62,54,74,93,58,105,66,65,95,138,87,97,75,76,55,76,62,56,79,60,13
"Oberösterreich-intermediate",59,91,83,70,78,76,81,75,83,52,70,66,76,81,66,57,81,48,70,65,73,91,74,65,82,71,83,66,69,57,72,41,38,71,73,78,81,67,71,67,68,106,43,49,62,54,66,55,40,38,44,35,31,67,53,47,62,71,53,52,57,67,49,62,60,39,48,46,40,53,53,38,53,49,84,65,17,76,57,58,53,48,68,51,37,51,64,54,55,55,48,60,64,50,40,52,31,36,52,80,40,62,62,13
