"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",2,1,3,2,9,3,3,7,6,3,4,7,2,2,2,4,4,6,3,5,3,6,1,1,3,3,1,2,6,1,3,1,2,3,0,4,3,7,4,2,3,3,0,2,2,2,2,3,0,2,2,0,3,1,2,2,3,3,5,4,5,2,3,3,6,6,3,6,3,0,1,1,2,2,4,5,1,3,2,2,2,0,3,4,3,4,6,4,4,0,5,3,3,3,1,1,0,3,4,1,2,3,2,0
"Oberösterreich-urban",7,11,6,11,5,5,8,12,13,4,10,3,5,10,8,7,3,4,11,10,6,5,3,5,5,5,9,9,9,7,2,10,3,7,5,7,9,6,7,3,2,4,4,8,5,5,3,8,4,4,4,3,7,6,8,4,12,6,7,6,4,11,4,3,3,1,5,6,4,3,2,5,4,8,7,6,3,12,1,6,14,5,6,4,3,1,2,4,12,6,3,8,3,4,3,5,6,6,7,9,8,8,6,0
"Salzburg-urban",7,5,11,3,11,8,8,5,5,8,9,8,9,1,5,8,5,4,7,6,11,8,5,6,5,9,5,8,5,10,9,4,1,6,4,10,7,6,7,9,11,8,2,2,4,3,0,4,3,5,8,8,2,9,4,3,11,4,8,3,8,8,6,7,9,6,6,0,6,4,8,5,2,4,4,2,3,5,10,2,4,3,5,4,3,5,4,3,4,3,7,8,4,5,5,2,6,10,5,4,5,7,5,0
"Steiermark-urban",10,20,11,16,15,9,16,13,20,8,12,19,16,22,7,9,7,11,12,12,6,11,11,16,8,7,12,12,15,12,10,15,4,6,7,11,13,10,5,16,15,10,7,10,30,10,6,6,10,12,8,7,6,13,9,11,10,7,15,17,13,9,13,7,8,12,8,17,13,9,14,16,2,11,17,9,3,16,7,3,7,3,10,4,7,11,13,4,8,10,13,5,10,8,7,6,10,11,6,9,10,21,11,4
"Tirol-urban",6,8,8,4,16,3,3,4,7,5,6,8,1,5,1,3,5,9,4,4,1,4,7,2,3,7,5,8,5,2,5,1,3,3,3,3,5,3,5,9,7,8,5,1,8,4,4,3,2,2,3,2,1,10,1,1,7,5,5,4,2,9,3,2,5,0,3,5,4,5,1,3,4,1,4,6,2,2,4,3,3,0,2,0,5,2,7,1,4,2,3,3,6,6,3,2,0,4,2,4,10,5,1,0
"Wien-urban",79,108,123,116,147,105,95,122,125,88,144,120,101,83,72,83,85,86,93,83,65,76,71,101,72,78,100,77,83,77,78,70,59,86,74,82,89,81,85,90,67,83,49,63,70,64,70,91,60,72,84,49,46,95,80,73,94,78,59,70,82,69,84,79,53,49,81,66,71,83,66,62,54,71,70,61,55,100,72,67,51,65,77,57,38,63,59,52,84,77,91,80,83,70,81,72,72,78,84,91,71,68,76,18
"Burgenland-intermediate",1,0,4,1,2,3,0,1,3,0,3,5,3,0,3,2,0,2,4,3,2,3,3,1,2,4,0,3,1,0,4,0,3,1,1,1,1,4,1,3,2,0,3,1,0,1,4,2,2,1,3,4,0,0,1,1,1,2,3,0,5,1,4,2,0,1,2,1,3,0,0,1,1,0,3,1,1,1,2,3,1,2,2,0,3,0,1,1,3,0,1,0,4,0,1,1,3,0,1,0,2,3,5,0
"Kärnten-intermediate",1,4,3,3,4,7,4,5,6,5,3,6,3,8,7,5,1,5,3,4,2,0,4,9,3,4,8,6,3,4,4,5,5,3,1,2,5,2,2,7,2,2,1,3,6,4,6,7,3,6,3,1,5,11,5,1,5,7,7,3,7,3,6,5,7,5,3,2,2,2,2,2,2,5,6,2,2,3,2,4,8,8,2,1,1,2,2,5,4,3,3,5,3,2,7,3,3,6,7,2,6,4,5,2
"Niederösterreich-intermediate",18,19,20,27,30,24,33,15,28,25,35,24,23,13,12,17,13,17,12,18,12,18,12,22,22,18,18,16,24,24,21,24,16,19,19,19,17,23,15,22,22,28,37,16,18,11,16,20,19,13,25,13,22,20,25,14,22,16,26,20,23,22,15,14,16,16,14,16,14,16,16,18,22,10,18,23,17,22,8,15,22,16,16,13,7,14,15,13,19,13,18,16,23,20,17,22,15,19,17,9,13,10,10,5
"Oberösterreich-intermediate",10,13,17,14,20,19,8,19,26,24,29,9,11,23,8,16,14,15,9,10,14,15,15,28,15,18,23,14,9,14,15,5,9,13,9,13,15,11,17,16,16,12,6,7,17,13,12,16,16,13,19,8,8,14,16,7,18,23,11,12,13,12,10,13,9,11,7,8,7,11,4,9,11,8,8,11,7,10,10,13,13,15,9,6,7,5,11,4,9,3,14,8,11,7,10,9,7,14,12,20,8,8,22,3
