"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",5,2,1,0,2,2,1,0,2,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,1,1,3,2,1,0,1,0,0,1,1,0,1,0,2,1,0,0,0,1,2,0,2,0,2,0,0,0,0,2,0,1,2,0,3,2,2,3,0,0,0,0,1,2,2,2,3,1,0,0,1,0,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,0,1,0
"Oberösterreich-urban",1,0,0,1,2,4,2,0,6,2,1,3,0,1,0,2,1,2,1,5,2,1,0,1,4,1,1,3,2,0,1,0,1,0,4,1,1,0,0,1,0,0,0,0,2,3,2,2,1,2,0,0,1,2,2,3,2,5,1,0,0,2,1,0,2,1,2,1,3,0,1,0,1,0,3,0,0,2,1,0,0,5,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,5,2,1,1,0
"Salzburg-urban",2,1,1,1,2,1,3,0,1,3,6,0,2,1,0,1,1,1,0,1,2,2,3,3,3,3,3,1,1,1,2,0,1,2,1,2,0,1,1,1,0,0,3,3,1,0,0,1,1,4,1,0,1,1,1,1,0,2,6,1,2,2,1,0,3,0,2,0,3,4,2,1,1,1,1,2,3,3,2,0,0,1,0,1,1,0,2,0,5,1,0,1,1,0,1,0,1,4,2,1,1,1,2,0
"Steiermark-urban",4,6,0,3,6,1,0,2,5,1,2,6,5,1,0,3,3,1,1,2,4,3,2,1,1,1,1,3,1,1,1,3,1,1,0,0,3,4,2,3,1,0,1,0,2,2,0,5,1,2,4,3,0,4,2,3,4,6,1,1,2,4,2,5,3,2,1,6,3,2,3,1,3,3,0,3,1,3,4,2,3,1,2,2,0,5,1,2,2,2,2,0,4,6,2,4,4,4,3,0,3,2,2,1
"Tirol-urban",0,2,1,1,3,0,2,0,2,1,1,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,1,3,4,0,2,0,3,1,4,0,1,0,2,0,1,4,2,1,0,1,0,0,0,0,4,0,4,0,3,1,0,2,1,1,3,1,1,2,2,3,1,0,3,1,0,2,1,1,2,1,2,1,0,0,0,0,2,1,0,2,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,1,0,1
"Wien-urban",35,37,38,33,48,36,36,30,31,25,31,34,29,28,18,22,23,11,18,13,21,7,28,23,36,11,19,14,23,34,19,20,16,15,29,20,22,22,17,24,17,20,22,10,26,19,13,17,21,19,17,9,22,22,18,8,28,19,24,16,25,26,24,17,12,14,17,21,15,23,13,14,24,15,25,11,22,27,14,15,16,25,19,28,7,22,14,23,32,20,18,20,33,20,26,21,28,34,25,22,20,19,20,4
"Burgenland-intermediate",0,1,0,0,0,0,0,0,2,0,1,2,1,1,2,1,0,0,1,3,2,0,0,0,1,1,0,2,2,2,0,0,0,1,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,4,2,0,3,1,0,0,0,0,1,0,1,0,0,0,1,2
"Kärnten-intermediate",0,0,1,2,2,1,1,4,2,3,1,3,1,1,0,0,1,3,1,1,2,1,1,0,0,2,2,1,0,0,1,1,1,0,2,2,3,5,1,0,1,1,1,1,1,2,1,1,0,0,3,0,1,3,1,1,2,6,1,0,0,1,2,3,3,0,0,1,1,2,0,0,1,2,1,0,3,0,2,0,3,1,2,0,0,0,2,1,0,0,0,0,0,1,1,2,2,0,0,0,2,2,5,2
"Niederösterreich-intermediate",7,15,4,8,11,5,4,8,5,5,14,6,7,4,8,10,6,2,6,6,5,1,5,15,6,6,13,1,8,7,9,11,5,8,3,4,6,8,6,4,6,10,7,6,3,5,8,8,4,11,5,5,10,9,3,2,6,7,7,1,8,3,4,6,11,1,6,3,5,4,1,5,6,5,7,4,6,7,4,5,3,2,3,3,1,3,10,4,6,4,8,9,5,11,5,7,6,8,2,11,4,5,5,1
"Oberösterreich-intermediate",2,4,6,3,5,6,2,4,3,5,3,4,4,1,2,2,3,0,3,1,0,1,2,2,0,6,2,1,1,3,0,2,1,3,2,2,1,2,1,4,3,1,2,2,4,2,2,1,2,2,4,1,2,4,4,2,4,2,3,4,10,1,2,1,0,2,3,3,1,1,1,4,2,1,2,2,1,2,1,0,4,3,1,4,0,3,0,3,7,3,0,1,5,4,1,4,5,2,2,2,1,0,5,1
