"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",26,20,37,24,70,56,34,35,34,35,27,18,24,18,15,21,22,26,15,24,19,17,22,19,17,24,24,15,8,21,12,19,10,16,23,19,38,20,34,47,30,22,14,24,22,23,21,15,22,18,29,13,11,33,20,18,22,30,21,28,26,42,18,20,21,17,11,17,11,9,16,6,21,6,8,7,1,12,13,4,5,22,12,11,4,13,10,20,25,23,31,36,27,19,34,20,23,21,14,23,16,18,20,3
"Oberösterreich-urban",42,90,65,63,90,87,86,55,75,62,71,62,59,53,43,44,43,56,64,54,60,42,45,44,50,57,42,47,55,54,45,64,39,66,69,99,101,124,101,118,63,61,41,39,68,41,44,54,43,54,47,25,25,71,46,26,64,76,62,65,75,64,58,52,49,41,40,31,37,43,35,40,39,37,34,29,24,52,40,56,31,44,40,41,42,35,34,64,90,95,123,71,87,67,51,46,43,40,47,36,59,44,54,19
"Salzburg-urban",35,59,59,47,55,40,60,67,69,46,43,44,47,32,20,36,40,32,40,47,53,31,44,36,35,37,43,36,31,44,43,33,27,45,48,79,63,95,85,74,64,52,49,35,51,46,45,46,51,45,45,17,29,62,42,36,51,41,41,53,66,69,28,40,33,32,33,33,35,34,33,29,23,39,38,23,13,56,37,45,44,22,37,31,24,36,30,37,85,71,99,78,42,38,52,34,44,39,33,38,50,38,46,17
"Steiermark-urban",138,231,246,159,192,241,185,142,167,133,117,128,112,109,76,110,107,96,82,86,74,75,69,86,80,76,91,74,86,79,83,52,81,106,104,204,167,163,174,146,126,182,91,92,143,128,115,104,98,106,92,45,53,130,100,67,151,134,110,130,122,143,78,96,78,69,66,82,75,81,75,63,59,56,67,70,27,82,63,99,66,55,73,60,46,71,73,135,171,157,134,163,131,147,126,72,114,94,103,92,110,88,75,18
"Tirol-urban",38,108,95,68,101,75,77,50,127,83,72,65,49,67,46,39,57,53,46,42,38,58,54,52,48,71,68,35,37,38,52,48,30,46,52,91,68,84,91,127,73,78,50,46,77,81,67,69,61,93,76,22,42,98,77,55,97,63,63,69,67,98,47,55,45,45,53,56,41,38,40,46,26,37,42,58,19,73,53,36,30,36,46,42,16,33,45,54,66,59,91,118,61,69,75,45,66,54,50,71,59,61,73,5
"Wien-urban",476,712,687,567,963,724,641,644,767,520,734,563,554,523,390,496,523,465,508,483,486,475,414,512,483,493,558,523,457,494,583,511,431,529,702,1112,808,768,783,970,728,687,459,605,622,588,572,592,525,620,546,276,353,763,631,432,978,751,578,573,621,690,488,512,411,433,456,468,426,477,395,437,416,383,505,467,201,574,430,414,371,343,400,406,436,549,605,911,882,702,747,902,695,592,589,464,601,583,537,489,598,562,539,147
"Burgenland-intermediate",5,8,6,1,14,11,7,6,8,9,7,2,4,11,4,3,14,3,1,20,4,7,10,10,4,7,2,6,9,10,2,4,16,5,13,18,5,11,14,23,9,16,20,21,2,12,23,4,8,6,4,4,6,6,8,7,6,10,1,8,1,16,3,4,5,10,8,3,9,3,5,4,6,1,5,9,1,3,5,15,8,4,4,5,7,13,13,11,10,10,3,12,8,6,11,7,7,6,6,3,13,5,7,1
"Kärnten-intermediate",21,58,12,15,34,39,22,18,20,29,12,36,35,23,24,27,23,22,14,24,19,29,17,31,14,31,30,29,24,33,25,27,23,25,80,70,46,42,47,45,33,43,17,16,18,14,21,45,14,28,28,12,23,20,14,16,29,17,19,15,23,18,24,14,18,13,7,11,13,12,12,10,22,14,22,16,3,25,13,15,19,12,16,10,13,8,17,18,18,22,34,42,17,28,26,17,12,18,15,28,23,20,34,11
"Niederösterreich-intermediate",77,135,106,187,129,144,198,129,123,103,124,150,127,139,80,93,111,148,110,108,155,120,113,186,167,184,158,189,117,181,241,168,166,91,106,136,185,297,252,271,199,570,624,290,161,81,103,127,86,121,117,59,80,138,128,69,124,104,105,117,124,113,106,91,82,94,89,94,96,84,78,113,79,77,99,95,31,112,60,66,69,58,52,76,59,77,95,85,122,73,165,153,272,159,158,120,107,100,122,79,83,82,63,13
"Oberösterreich-intermediate",90,92,85,120,127,103,132,117,128,73,123,97,90,132,86,100,85,88,58,85,76,97,71,82,76,92,110,102,83,106,81,84,61,98,86,128,127,129,118,93,86,132,59,79,69,55,79,72,84,65,61,22,36,99,63,56,78,92,63,67,110,71,81,66,59,70,69,57,64,59,67,63,64,54,85,63,38,78,59,70,56,68,65,57,51,57,83,66,100,126,99,93,92,66,67,53,69,66,66,78,50,69,72,12
"Salzburg-intermediate",16,29,31,18,28,34,19,34,20,20,25,19,15,33,11,23,13,19,26,21,21,29,16,20,14,12,25,16,15,19,19,16,13,22,13,19,22,22,19,20,28,21,10,23,18,21,19,23,15,19,19,14,20,63,17,15,13,14,11,23,29,32,14,22,14,17,19,24,15,7,14,12,22,21,21,18,6,16,11,18,17,15,15,23,12,14,20,19,37,25,26,34,29,24,22,22,22,20,24,18,20,22,12,7
"Steiermark-intermediate",39,52,58,39,103,51,38,51,48,42,43,52,57,36,34,45,44,56,41,53,47,38,26,30,52,43,33,34,47,40,35,53,33,40,36,41,53,58,37,51,53,33,40,47,35,42,51,39,32,29,42,21,13,41,36,28,51,41,30,39,36,50,34,29,28,37,34,34,44,31,24,33,30,22,27,20,12,37,32,25,38,27,29,30,12,30,40,29,49,68,56,59,39,29,52,33,49,36,31,36,42,21,16,4
"Tirol-intermediate",26,40,46,34,42,52,32,39,65,46,56,34,36,36,28,43,41,55,26,36,42,42,29,35,33,29,33,36,37,29,44,43,30,34,40,34,31,41,37,49,39,48,24,28,63,33,38,35,37,39,51,16,15,47,28,25,45,34,27,27,44,35,36,23,24,42,38,30,35,27,29,34,23,30,29,40,13,46,36,29,29,25,19,18,20,19,29,29,37,28,43,56,36,33,22,25,41,41,26,37,28,38,43,9
"Vorarlberg-intermediate",31,54,55,37,78,40,48,45,71,49,44,31,45,48,35,40,36,40,45,38,32,43,34,38,44,53,54,26,28,26,36,26,34,41,41,46,42,43,33,44,41,25,38,52,48,30,36,47,28,28,38,23,34,49,32,27,55,31,27,51,33,36,39,25,42,25,30,30,32,38,30,24,21,29,40,25,15,37,24,33,32,36,29,48,35,46,45,26,38,48,45,38,37,31,35,21,40,28,39,38,33,38,36,3
