"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",1,3,2,3,7,1,0,0,5,2,1,2,0,2,0,1,1,0,6,5,4,1,1,5,6,3,2,3,6,2,8,5,6,1,4,2,4,1,2,1,2,1,0,2,1,4,3,4,2,2,2,1,2,1,2,1,1,3,0,6,0,0,0,4,1,3,6,0,1,5,4,3,2,4,0,2,2,7,5,3,2,2,3,3,2,1,3,4,1,1,2,1,4,2,6,3,0,5,0,4,3,5,2,1
"Oberösterreich-urban",2,12,14,18,4,4,16,2,10,2,20,3,5,4,5,4,3,8,5,2,15,6,7,11,10,7,8,8,4,6,7,13,1,1,9,13,8,1,5,5,3,11,4,8,5,7,9,0,2,9,8,2,2,14,3,4,17,3,23,10,8,9,18,10,6,7,14,9,12,8,1,3,3,8,5,4,11,7,7,6,3,12,9,10,4,3,4,8,14,15,11,8,7,4,4,5,4,7,7,2,7,4,8,2
"Salzburg-urban",0,13,0,3,1,7,6,4,3,1,2,7,2,5,14,6,12,2,10,0,2,10,8,10,4,4,9,9,6,3,7,8,5,5,2,7,4,4,4,1,2,2,0,5,2,6,2,6,1,3,2,4,2,4,19,1,10,8,7,7,2,3,7,4,1,2,7,7,8,3,0,6,8,2,17,1,6,3,5,12,5,2,9,3,1,5,8,12,5,7,5,5,4,6,8,1,7,10,3,5,4,7,9,0
"Steiermark-urban",8,9,13,6,4,16,11,6,14,6,13,18,11,20,9,7,18,8,8,11,12,11,2,10,9,21,21,9,16,33,11,2,17,15,9,10,7,13,19,48,2,12,19,8,8,9,29,15,6,37,16,5,2,30,16,2,9,6,7,7,11,30,18,22,6,7,18,20,8,6,4,9,6,5,3,50,9,13,6,36,12,13,9,18,11,12,8,9,15,7,22,4,15,16,25,11,12,12,8,7,17,17,12,0
"Tirol-urban",8,1,2,3,1,2,3,6,10,2,3,1,3,5,1,3,2,3,2,3,8,0,2,3,1,4,10,4,4,5,2,9,5,0,3,10,4,7,3,7,2,2,0,7,1,5,1,3,1,8,3,1,2,6,5,4,6,1,5,7,6,3,6,6,1,0,11,3,7,6,0,5,3,1,3,0,1,9,3,8,5,6,5,0,4,9,2,4,13,1,3,0,4,2,3,3,5,4,3,7,2,3,11,0
"Wien-urban",27,67,95,73,104,58,64,49,60,57,55,61,68,66,58,62,76,50,39,53,76,76,50,38,79,96,68,87,68,100,76,83,74,92,131,99,50,45,48,46,40,42,56,48,71,33,23,42,37,65,50,21,40,84,107,53,118,52,50,106,46,74,58,50,38,61,49,77,67,38,38,45,45,64,52,74,100,166,70,111,65,86,77,71,61,88,111,78,157,118,78,37,86,49,94,57,75,52,67,88,103,91,68,26
"Burgenland-intermediate",1,8,1,0,0,0,0,2,4,3,1,1,3,2,0,1,2,1,4,2,4,0,2,1,3,2,0,4,3,2,0,1,3,0,10,6,1,0,9,1,0,2,2,1,2,1,2,0,0,3,4,2,2,5,4,0,1,2,2,2,1,1,0,2,1,0,0,2,2,1,3,0,0,1,4,0,1,5,2,0,0,3,3,1,0,1,0,2,3,1,3,1,3,3,0,2,1,0,2,3,1,7,2,1
"Kärnten-intermediate",2,8,3,5,2,5,2,0,1,2,2,1,3,0,0,9,0,0,3,2,2,13,0,3,5,3,0,6,9,6,1,2,2,5,4,3,8,6,2,4,6,2,5,0,3,8,2,3,2,2,4,2,5,1,3,7,2,6,3,4,4,0,3,4,9,5,3,0,0,3,4,6,7,2,0,8,2,5,2,11,1,0,3,3,3,6,3,5,7,0,0,0,2,1,4,0,2,2,4,8,4,8,2,0
"Niederösterreich-intermediate",17,20,22,17,34,15,19,22,21,37,15,33,38,28,44,17,37,10,28,67,13,28,16,12,24,29,24,19,25,41,21,26,18,16,35,37,18,30,28,17,21,28,93,68,36,20,38,18,21,25,19,11,17,33,16,18,24,20,10,18,31,30,32,21,17,6,14,23,19,10,11,16,22,11,18,10,26,43,25,29,7,33,18,13,14,17,31,28,23,11,17,18,30,49,30,25,28,32,17,28,15,15,18,7
"Oberösterreich-intermediate",5,13,24,24,6,10,22,9,15,13,28,13,16,11,4,10,15,18,8,20,29,9,7,4,12,4,24,10,15,7,12,7,7,7,18,28,34,14,26,12,4,25,30,13,10,13,21,20,11,14,5,8,9,13,15,7,34,20,16,10,21,11,36,14,0,15,10,7,11,13,8,14,10,3,5,9,13,24,6,22,14,17,24,13,9,15,16,10,11,10,8,14,19,19,8,4,9,11,10,10,14,17,10,3
"Salzburg-intermediate",1,8,2,1,7,1,2,2,5,2,1,2,8,1,1,2,4,9,10,7,2,8,3,9,6,8,3,6,3,6,5,7,2,4,4,10,5,2,1,4,10,4,5,3,2,8,3,5,3,0,2,1,1,12,2,6,8,0,3,4,3,0,9,11,8,2,6,2,0,2,2,7,0,1,3,0,2,7,1,7,3,3,1,2,0,2,3,9,4,1,5,9,3,0,3,2,1,4,1,0,2,1,4,1
