"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",7,9,8,8,18,13,22,8,11,5,6,8,7,4,2,6,4,7,6,8,9,5,8,13,4,11,4,4,5,10,8,8,6,3,9,10,3,3,7,4,8,3,10,6,8,5,6,12,4,15,11,8,9,7,5,4,9,8,1,13,1,1,5,16,3,3,15,6,18,11,7,7,7,8,5,8,1,13,4,5,6,1,11,5,6,11,4,17,9,7,3,9,11,6,8,5,4,10,6,7,7,8,10,4
"Oberösterreich-urban",7,17,22,28,17,22,23,10,40,38,29,1,46,10,19,13,18,16,10,14,22,28,15,18,24,20,24,14,11,11,15,23,15,12,20,24,18,18,16,16,10,29,13,15,14,11,20,15,5,17,21,5,12,21,15,5,29,13,23,16,18,17,15,16,13,23,19,18,21,20,11,9,11,12,11,13,3,21,11,14,22,11,11,20,10,22,18,12,36,28,22,28,16,11,4,7,8,13,13,17,14,12,25,8
"Salzburg-urban",4,20,4,5,18,8,10,6,9,6,9,7,16,15,11,5,14,9,14,6,4,3,11,12,8,15,15,17,9,11,25,23,13,6,23,11,13,12,19,32,30,46,24,17,36,41,21,11,11,19,10,5,11,15,13,12,20,10,16,13,13,11,9,11,9,12,19,12,14,16,9,9,14,8,9,8,3,20,22,23,11,16,19,13,12,7,10,11,5,10,19,8,11,17,18,17,12,9,18,17,15,19,25,7
"Steiermark-urban",36,23,39,25,22,36,28,17,24,15,23,26,32,39,36,25,33,18,12,22,18,28,8,15,29,23,26,36,36,36,29,18,19,27,38,41,22,43,46,49,23,25,38,19,15,21,35,45,11,40,30,20,9,42,32,7,32,10,19,35,29,36,27,24,49,18,43,30,20,26,22,32,18,22,28,55,1,57,30,49,17,32,18,47,25,42,26,14,24,22,44,26,75,139,94,23,37,43,31,30,44,39,28,8
"Tirol-urban",5,8,13,10,15,6,21,15,31,21,6,22,7,18,5,14,18,13,19,9,24,16,5,13,8,7,12,16,11,8,8,17,12,11,19,12,25,18,15,14,16,11,7,7,8,7,13,10,2,13,14,10,9,21,12,17,18,15,7,6,22,22,17,13,15,6,17,10,20,20,9,9,16,8,9,10,2,25,4,27,21,14,10,5,5,16,8,11,18,14,35,12,18,17,14,12,6,13,10,20,11,18,19,5
"Wien-urban",136,178,201,210,227,170,189,197,195,201,198,249,194,193,163,238,181,160,173,161,224,166,130,167,330,257,144,194,168,199,166,137,145,160,202,163,129,105,197,156,127,109,156,119,146,151,139,159,115,151,149,119,143,212,229,152,277,129,120,221,193,160,183,135,143,152,116,174,211,141,98,153,142,158,163,183,38,353,589,534,179,213,166,176,149,153,299,176,265,203,189,145,243,164,243,169,194,145,183,232,313,227,195,117
"Burgenland-intermediate",7,2,2,3,1,3,3,5,7,9,6,6,4,4,4,2,2,3,4,4,4,0,4,5,8,0,1,2,7,6,2,3,4,1,4,5,7,0,13,2,4,5,5,2,4,2,0,0,5,4,9,10,7,15,2,1,3,2,4,4,8,12,3,5,2,2,5,6,5,6,1,3,4,10,11,3,0,10,5,12,5,5,3,6,4,3,0,3,4,4,8,3,5,5,3,5,4,3,7,5,4,15,2,3
"Kärnten-intermediate",7,5,1,9,7,4,4,3,6,4,6,3,7,3,1,15,5,3,6,6,7,13,4,4,13,10,7,8,9,4,8,5,4,8,12,7,15,10,4,3,5,13,5,3,5,7,3,12,6,6,7,1,5,10,2,5,9,6,5,9,6,6,9,10,8,8,11,4,5,6,6,6,12,4,0,7,1,5,2,10,11,5,3,8,7,12,14,4,7,5,7,6,11,3,6,1,4,1,8,7,5,12,6,4
"Niederösterreich-intermediate",43,43,50,38,56,30,33,44,33,49,44,72,56,45,66,44,60,34,53,37,35,39,52,35,49,45,36,42,59,63,45,51,33,36,41,44,40,39,50,41,54,76,85,68,63,41,60,50,27,75,30,28,54,59,46,40,48,45,32,37,57,45,58,57,33,31,41,56,53,31,42,48,36,27,53,41,7,85,90,115,34,69,32,43,36,45,51,47,52,36,43,51,60,65,48,56,42,58,45,49,48,45,53,15
"Oberösterreich-intermediate",16,26,37,35,20,21,24,26,42,36,34,35,24,25,18,35,29,35,31,35,39,35,27,24,22,36,52,22,35,43,22,40,24,23,38,36,39,25,43,32,27,43,27,26,15,33,25,45,28,30,25,17,19,38,25,21,43,31,34,23,30,19,40,24,19,29,37,17,25,34,14,27,22,25,19,34,9,49,29,28,35,28,37,26,22,31,22,20,27,35,35,27,35,32,25,16,30,18,21,36,34,27,36,8
