"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",2,1,1,0,2,2,7,5,4,2,2,3,4,4,1,1,3,1,3,4,1,2,3,1,2,2,3,0,0,3,2,3,1,1,1,1,1,0,0,2,1,1,3,4,3,1,2,4,2,3,1,0,0,3,3,0,0,1,0,6,3,2,0,0,2,2,2,1,2,4,0,2,3,3,0,5,0,5,1,3,1,2,1,1,2,5,0,0,4,1,36,5,3,7,2,6,4,0,2,2,2,0,1,0
"Oberösterreich-urban",1,7,6,14,1,2,9,12,11,11,9,2,5,3,6,1,7,4,7,6,5,3,6,7,5,2,3,3,3,5,4,0,2,3,8,5,2,4,2,1,3,6,2,3,9,3,0,2,5,4,5,4,3,5,2,3,12,1,2,9,4,5,2,4,3,3,3,6,10,8,0,3,1,1,2,3,1,1,2,4,3,0,6,1,2,4,6,8,5,8,3,9,3,1,2,8,4,4,5,7,1,7,10,3
"Salzburg-urban",3,7,0,1,6,3,4,5,3,4,5,10,5,2,4,6,4,5,4,2,3,8,4,7,5,5,2,3,3,1,13,13,2,6,5,6,2,3,6,17,5,12,5,3,6,7,3,10,6,3,3,3,2,5,3,2,1,3,4,0,2,1,1,0,1,4,4,3,2,6,6,7,6,4,2,6,0,6,10,6,2,5,0,2,1,2,1,0,4,1,11,1,1,3,3,3,7,7,6,3,7,13,3,1
"Steiermark-urban",4,2,6,3,4,7,6,6,10,10,4,9,7,7,11,6,3,2,4,5,6,10,1,5,4,7,8,10,5,0,7,4,8,10,9,10,5,15,4,7,7,1,11,1,11,7,1,8,6,8,6,4,5,10,2,3,9,9,2,5,8,6,5,4,9,4,4,7,7,5,1,9,0,5,3,5,2,8,9,11,5,4,1,7,3,15,10,3,7,6,14,5,42,93,40,6,24,12,7,2,7,4,8,3
"Tirol-urban",1,5,2,4,6,5,1,3,5,5,4,9,3,2,5,1,2,4,7,1,1,5,6,7,5,3,1,6,3,0,2,2,3,0,2,0,6,0,4,3,0,2,0,3,4,2,2,1,2,8,0,2,2,7,3,0,2,2,0,1,4,4,1,2,3,2,2,4,1,4,1,4,3,2,1,1,1,6,2,6,3,2,1,1,6,4,3,2,4,5,7,1,6,3,2,4,6,0,0,3,6,8,5,0
"Wien-urban",37,43,52,35,70,58,55,57,50,64,144,97,87,45,48,88,53,38,33,48,61,66,45,67,74,68,43,54,37,57,44,44,29,37,57,47,51,36,54,49,39,42,58,39,46,50,49,51,39,58,58,31,52,67,55,50,62,36,43,60,50,42,58,37,49,53,40,63,54,64,45,60,48,51,67,39,3,97,164,156,70,61,44,52,46,143,127,59,67,178,88,57,60,68,52,48,71,47,60,62,80,75,74,47
"Burgenland-intermediate",2,4,1,1,1,0,0,1,2,0,2,1,0,1,1,0,1,0,0,3,0,0,0,2,0,3,1,1,1,2,2,1,2,1,4,1,2,2,2,0,2,1,1,0,2,2,2,3,2,0,6,3,2,5,1,1,2,0,0,2,0,2,1,4,0,4,2,3,1,3,0,0,2,1,1,0,0,4,2,3,0,0,0,1,1,1,1,1,0,1,2,1,2,3,0,0,2,1,1,1,0,1,3,2
"Kärnten-intermediate",3,2,2,3,1,0,4,3,2,1,2,1,4,3,0,4,0,2,3,5,7,7,0,2,2,2,6,2,3,2,4,3,3,1,1,0,0,2,2,5,2,1,1,1,1,2,1,2,3,2,1,3,1,0,1,3,1,0,1,3,0,2,0,4,4,1,3,0,5,3,2,5,4,1,0,2,0,2,2,2,0,3,0,4,6,4,1,0,4,21,7,3,4,3,0,2,2,2,0,2,3,6,1,2
"Niederösterreich-intermediate",9,16,19,7,9,8,21,10,10,10,19,22,18,14,15,14,19,19,8,8,12,12,8,11,7,22,11,8,10,11,17,12,9,10,8,11,8,12,7,14,12,11,18,16,9,12,18,15,11,20,15,1,10,16,12,9,15,13,13,16,24,12,14,17,12,8,15,14,12,11,5,16,8,13,18,10,1,16,22,28,14,19,10,8,11,21,13,11,17,21,13,17,7,16,6,13,16,11,19,20,10,11,14,8
"Oberösterreich-intermediate",7,12,15,12,9,4,8,4,13,9,9,6,10,12,5,5,8,7,10,9,9,13,6,12,11,9,11,0,10,6,7,6,6,8,12,7,12,11,8,11,7,7,2,5,13,7,7,9,2,9,6,1,4,12,11,8,9,7,9,7,10,11,9,2,11,1,8,7,8,3,2,11,10,6,1,8,1,7,5,10,9,6,8,9,2,7,5,3,8,10,16,6,10,13,7,5,12,10,10,5,10,8,7,2
