"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",3,0,1,0,4,3,11,2,1,0,0,1,0,0,0,2,0,1,2,4,2,2,1,1,0,0,0,4,0,0,1,1,1,2,0,1,1,0,0,0,1,0,3,3,0,0,1,1,1,1,0,0,3,2,2,0,1,2,4,0,1,1,0,3,0,0,3,0,0,1,1,0,2,0,2,0,0,3,2,1,1,2,0,2,1,2,0,0,0,0,3,0,1,1,0,0,1,0,1,3,1,0,2,0
"Oberösterreich-urban",0,2,1,1,3,0,6,15,11,5,6,2,18,2,4,4,3,2,2,6,3,1,3,4,5,1,3,4,5,1,2,4,0,0,6,3,5,4,2,3,2,3,6,2,1,3,9,4,0,5,1,1,2,0,1,0,2,1,1,1,2,4,2,4,1,3,7,2,3,6,0,2,0,0,5,3,0,6,2,1,1,2,3,3,4,2,1,3,3,2,5,8,2,1,1,1,2,2,3,5,1,2,4,2
"Salzburg-urban",4,3,2,2,0,5,2,3,1,5,1,2,1,0,2,1,2,1,0,0,3,1,1,0,2,1,0,0,1,3,4,6,2,2,4,4,3,2,7,10,3,8,5,2,4,4,4,1,1,5,1,0,0,5,4,0,1,4,2,3,3,2,0,1,1,2,10,1,1,3,4,3,4,2,2,1,0,3,1,5,0,2,0,3,2,0,1,2,2,2,1,2,3,1,2,8,3,0,5,6,3,2,1,2
"Steiermark-urban",4,0,1,0,0,1,0,4,1,0,2,1,0,2,10,2,3,2,3,5,2,2,2,2,2,0,0,1,2,0,4,0,1,1,1,3,0,1,1,0,3,2,5,3,0,1,2,2,0,3,3,2,3,1,0,1,1,1,0,1,4,2,2,4,2,2,1,0,0,0,1,4,1,2,2,3,1,2,2,4,4,0,2,1,1,4,3,0,3,5,2,1,13,12,9,3,7,8,1,2,0,4,4,1
"Tirol-urban",2,2,0,0,1,1,0,12,3,0,1,0,9,2,0,2,3,3,5,0,2,3,4,1,1,3,6,1,0,4,0,1,3,1,5,6,2,2,2,0,8,0,1,1,3,5,1,1,1,2,1,2,0,9,4,1,0,0,0,2,1,3,3,2,1,1,4,0,0,1,0,5,1,2,7,0,0,7,2,2,4,2,2,0,1,0,3,2,2,2,1,1,1,2,1,1,4,1,2,3,6,5,1,5
"Wien-urban",24,38,40,39,58,29,31,27,43,45,959,239,35,46,29,40,53,37,38,41,45,38,27,43,64,106,33,89,44,26,31,21,29,36,31,33,43,21,33,33,36,50,28,36,48,30,41,36,34,51,32,20,39,38,43,39,55,44,41,38,18,48,29,34,37,30,33,26,35,25,25,24,40,44,35,34,1,84,57,72,38,36,37,42,24,47,53,40,38,43,46,27,64,46,45,36,63,57,30,47,35,39,39,26
"Burgenland-intermediate",1,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,1,0,2,0,0,0,1,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,2,0,1,0,2,0
"Kärnten-intermediate",2,1,1,1,2,1,1,4,2,1,3,1,1,0,1,5,0,1,2,3,1,2,2,2,0,6,0,1,2,0,0,0,2,2,0,0,2,0,0,2,0,1,3,1,2,1,2,3,1,0,1,0,4,1,4,0,3,2,4,4,1,1,1,1,2,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,2,0,3,0,2,0,0,0,3,0,3,3,0,0,2,1,4,0,5,1,0,0,1,1
"Niederösterreich-intermediate",2,6,7,6,4,2,4,3,7,3,6,7,5,7,11,3,8,6,8,5,9,6,6,9,14,10,5,8,7,6,3,2,3,6,9,6,5,8,4,8,8,2,6,12,17,8,8,8,6,3,10,4,6,5,8,7,7,5,6,6,9,9,6,7,7,9,5,7,3,6,6,8,9,6,6,7,0,13,14,15,10,7,3,10,12,4,8,7,7,5,16,8,6,12,8,12,5,4,9,6,10,4,7,5
"Oberösterreich-intermediate",3,4,6,2,3,7,5,5,5,3,6,5,6,0,3,5,7,8,5,7,3,3,2,3,6,10,6,3,6,9,5,4,4,7,4,4,4,1,8,4,2,8,4,3,8,8,0,1,6,5,3,1,5,2,5,2,6,6,7,3,4,3,3,6,5,1,2,6,4,5,5,1,0,1,4,7,0,5,4,1,5,2,3,1,2,6,1,5,6,5,1,12,5,5,3,11,2,5,5,4,6,7,1,4
