"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Kärnten-urban",7,7,6,9,32,32,34,15,27,12,6,3,13,11,5,5,8,7,8,11,11,10,15,20,11,31,10,11,11,12,11,12,6,5,7,7,5,8,12,5,12,4,10,4,6,10,10,4,7,16,12,3,6,9,8,8,12,13,4,16,13,7,6,10,9,2,16,6,16,7,14,6,15,8,8,9,3,36,13,17,13,6,14,3,5,11,9,7,6,7,9,9,4,16,5,9,6,11,8,8,10,13,7,3
"Oberösterreich-urban",11,19,24,36,48,21,41,21,32,29,32,13,43,26,19,17,25,15,14,16,35,30,11,15,16,43,77,22,12,31,30,19,22,25,39,25,26,23,28,17,23,30,11,19,30,26,36,23,9,19,28,15,18,33,15,10,93,27,26,22,34,19,19,15,24,18,20,26,24,34,5,11,9,23,17,18,3,63,84,22,16,23,36,19,18,21,29,19,27,33,38,44,21,13,14,16,18,20,29,14,21,16,35,7
"Salzburg-urban",4,19,19,17,18,21,22,23,15,21,11,9,20,19,10,11,25,31,17,12,15,12,20,12,20,65,46,25,16,23,42,31,27,16,21,21,23,16,20,38,32,55,34,25,48,38,54,13,24,14,47,13,16,17,11,16,37,43,30,23,16,16,13,12,19,8,22,20,28,21,11,21,20,25,20,22,5,70,62,47,21,20,30,12,19,20,28,17,17,12,23,16,28,26,17,26,30,18,16,25,20,26,53,14
"Steiermark-urban",62,76,88,69,169,116,77,72,52,50,26,46,78,50,41,23,37,25,18,20,27,42,20,38,68,186,71,79,42,65,43,16,16,46,48,24,22,53,70,74,28,31,62,34,24,28,27,65,21,51,46,31,25,76,54,31,110,68,69,53,75,33,32,33,42,37,44,47,44,28,28,44,30,53,23,46,6,227,82,111,50,62,41,37,38,47,52,27,37,34,64,68,58,70,55,43,35,44,23,37,43,53,63,10
"Tirol-urban",18,19,23,16,41,30,39,49,51,19,10,37,25,22,12,25,16,29,19,9,28,23,20,19,43,86,35,26,35,35,22,16,37,21,33,27,31,28,33,30,30,26,14,18,14,17,26,23,19,31,24,17,32,48,23,46,58,63,36,41,50,40,24,29,50,10,14,15,29,30,34,8,19,26,32,18,2,128,46,56,35,47,50,24,19,44,56,33,23,53,52,40,24,52,40,30,30,30,13,25,30,32,37,5
"Wien-urban",147,201,264,271,319,213,220,222,235,243,170,217,255,217,146,264,217,165,143,202,225,199,204,193,323,537,258,311,202,297,201,158,188,208,250,186,175,164,275,214,142,158,211,195,177,157,147,202,129,256,212,159,228,284,260,247,525,206,206,214,269,181,217,181,239,180,150,196,233,196,108,179,196,205,235,221,51,955,422,470,298,301,319,230,196,266,425,254,282,262,314,258,269,195,230,270,228,191,191,295,318,285,284,141
"Burgenland-intermediate",3,5,6,1,4,4,3,7,7,6,4,5,8,2,0,4,3,4,9,3,2,3,4,5,3,4,1,4,2,5,4,5,0,2,4,2,4,5,3,6,3,4,7,2,4,4,2,5,3,2,5,5,3,7,6,3,4,1,2,3,7,7,4,10,3,6,2,5,5,8,3,4,3,3,10,3,1,12,8,5,2,5,8,3,4,8,5,1,2,3,2,5,6,4,3,6,5,5,4,6,3,9,6,3
"Kärnten-intermediate",10,9,8,10,7,9,19,12,8,8,13,5,13,6,4,14,6,5,14,4,5,16,7,13,6,22,4,11,8,8,6,7,11,5,16,14,17,3,11,6,9,8,4,4,7,12,4,7,10,6,6,8,4,6,7,13,14,13,5,8,11,5,5,6,11,5,5,5,10,8,3,3,14,3,6,9,2,25,10,11,8,8,8,2,6,9,13,10,11,5,7,13,8,6,14,8,11,4,5,16,9,7,14,3
"Niederösterreich-intermediate",42,40,38,39,56,36,37,57,45,50,29,60,79,49,57,21,50,26,54,114,51,42,51,49,76,86,85,67,74,79,105,89,83,59,61,36,73,63,61,85,90,123,301,238,103,47,82,46,40,77,39,36,53,59,45,61,73,49,39,48,82,44,47,49,41,39,38,60,36,45,49,47,44,33,52,52,3,116,53,75,35,60,46,30,40,56,56,37,41,44,55,47,50,74,84,76,68,61,51,43,31,57,55,13
"Oberösterreich-intermediate",23,35,50,47,48,28,66,29,45,21,25,49,38,36,27,35,43,43,39,44,64,38,26,33,36,39,40,39,30,41,38,37,38,37,40,50,68,52,52,54,46,47,47,49,38,52,29,37,34,35,25,20,17,37,39,29,43,41,39,35,28,31,34,35,22,33,35,29,41,32,22,21,44,29,21,28,6,64,33,47,44,26,36,27,16,36,38,26,26,29,34,36,51,33,36,18,33,37,37,40,48,24,63,8
