"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"2",17,19,19,13,21,14,21,15,17,16,30,18,17,26,17,14,23,14,11,18,23,18,10,13,19,11,11,15,9,20,9,13,19,15,19,20,21,7,15,20,11,15,13,9,12,13,13,18,11,16,13,10,9,19,25,13,22,12,21,11,15,14,13,12,7,12,13,16,7,14,8,9,10,15,10,13,1,29,15,46,9,17,21,21,12,13,22,12,26,20,13,11,18,6,7,12,16,13,7,16,12,14,21,1
"3",7,20,20,15,23,9,9,12,13,9,19,16,14,14,18,6,19,14,14,14,23,16,14,13,15,14,15,21,6,19,14,17,10,17,22,22,16,11,21,11,17,10,12,13,14,13,10,16,13,18,12,8,7,13,17,8,26,18,8,18,20,14,18,12,7,16,14,12,10,12,7,17,12,14,14,8,0,24,22,21,11,20,14,12,13,23,24,13,22,13,16,18,23,10,12,12,19,20,10,17,19,15,16,2
"4",9,11,18,14,15,9,13,11,11,10,12,13,20,15,16,19,12,7,12,15,11,14,8,6,11,19,15,12,12,20,15,17,10,17,16,27,20,11,21,20,11,17,17,5,22,15,14,9,8,12,11,10,7,14,19,6,15,19,8,15,16,11,16,10,10,12,12,13,18,13,6,12,15,10,8,14,1,21,13,25,16,22,21,10,10,16,19,23,24,16,15,14,19,14,17,16,9,10,13,21,8,16,14,7
"5",7,24,23,8,14,10,13,15,10,16,13,17,18,23,21,16,14,11,17,20,15,20,16,12,16,18,20,17,15,30,15,18,14,16,15,21,20,9,17,17,16,12,10,15,17,9,12,11,8,23,16,6,11,28,24,7,25,11,15,18,7,17,23,12,2,15,11,20,25,7,8,14,12,11,15,11,14,28,9,32,13,14,14,18,15,17,13,16,27,19,9,13,17,8,10,6,16,7,10,13,15,10,13,3
"6",3,15,15,12,17,17,13,14,15,16,18,10,17,10,12,13,15,11,15,15,16,9,13,13,10,14,23,13,12,25,16,26,19,19,21,23,24,14,20,15,9,16,13,14,16,9,14,12,10,10,17,6,5,24,21,8,18,13,16,17,15,18,9,6,7,13,16,10,17,14,13,9,9,10,11,15,24,26,11,18,10,20,16,10,7,19,15,14,32,24,17,10,22,7,14,13,17,13,6,18,13,24,14,5
"7",6,11,17,10,19,13,16,10,10,7,12,16,15,12,16,11,11,8,11,10,15,14,12,12,12,16,24,16,11,29,18,11,12,18,27,20,26,10,14,14,11,8,7,14,17,11,18,13,10,20,13,4,8,14,13,9,18,11,9,15,11,18,20,12,10,11,11,15,16,11,5,9,7,7,10,8,38,37,12,26,12,22,10,14,13,19,11,10,28,11,13,6,15,14,16,7,9,10,15,20,16,15,14,6
"8",4,18,16,15,21,19,16,4,16,17,15,17,15,12,9,13,13,9,14,12,17,15,7,12,8,10,19,12,18,26,12,13,11,15,15,19,16,10,22,15,9,9,15,10,14,11,15,10,8,16,8,6,8,19,19,11,19,9,12,13,10,12,15,14,10,11,17,14,11,10,6,12,8,7,6,16,45,31,13,22,9,15,12,6,9,17,14,16,22,14,16,8,18,7,10,5,15,11,10,16,8,13,10,1
"9",6,11,11,16,26,9,15,8,17,20,8,20,17,11,21,11,16,9,11,15,15,10,12,8,20,22,15,17,10,20,18,19,15,16,23,18,15,13,21,18,8,14,15,9,12,13,8,11,7,14,10,4,9,24,21,10,20,9,13,11,11,10,15,17,11,10,14,9,17,12,6,10,9,9,8,19,21,34,17,21,8,20,23,13,10,12,17,30,27,21,15,8,26,15,14,13,16,9,12,14,15,18,14,4
"10",9,18,19,17,23,13,12,11,19,14,4,18,21,23,25,14,10,7,9,13,18,11,10,6,15,16,21,10,23,21,14,15,16,20,28,25,28,12,16,12,11,16,15,17,8,8,11,13,7,20,7,3,7,19,15,11,20,7,16,22,16,16,20,11,9,10,15,13,20,11,7,16,10,12,17,30,23,29,9,23,17,12,15,15,8,15,18,17,27,12,13,10,10,9,19,6,21,6,14,19,9,22,21,6
"11",4,19,10,10,20,9,15,6,16,20,16,9,14,14,17,13,14,14,19,10,11,22,6,12,9,15,21,16,24,12,15,22,16,13,24,24,24,16,20,18,7,14,20,12,17,8,10,11,11,7,13,2,10,28,18,9,24,10,14,15,14,17,19,17,12,8,18,11,17,15,6,13,7,3,6,18,17,39,15,27,11,17,14,11,12,20,13,19,30,15,14,6,12,19,20,6,14,9,9,17,14,17,12,6
"12",8,18,19,10,22,11,15,8,10,9,6,13,18,12,20,8,17,9,12,18,20,22,13,12,12,22,17,17,21,17,20,16,17,15,16,20,31,14,18,12,8,14,13,12,6,13,13,15,14,14,11,3,14,15,22,11,22,12,9,20,20,14,16,19,11,5,10,10,12,9,9,13,5,7,15,12,9,22,12,19,7,10,19,12,12,19,19,18,26,16,18,8,14,19,11,9,6,9,15,6,25,14,15,2
"13",7,14,11,17,14,13,10,14,19,17,10,18,19,10,13,10,20,10,20,17,16,15,12,18,9,17,17,14,21,21,19,15,19,13,23,22,30,24,18,16,6,16,21,9,10,13,13,10,14,19,10,7,7,23,16,13,18,14,7,20,15,19,29,15,12,4,15,14,13,10,8,7,14,8,14,15,5,20,13,24,12,14,18,19,13,14,24,15,17,15,18,8,12,10,20,4,14,20,10,11,14,9,10,3
"14",7,10,9,10,18,13,20,11,14,12,10,8,17,16,12,11,19,15,11,24,20,12,7,11,16,16,17,8,13,20,16,16,12,13,29,24,16,13,10,18,9,7,23,21,12,13,14,14,7,13,9,3,9,21,9,8,24,8,7,10,19,11,14,16,7,6,21,9,8,7,3,7,11,4,6,16,5,19,11,22,10,11,11,12,5,11,15,12,17,17,14,15,16,18,16,10,9,12,13,8,18,17,10,2
"15",5,11,14,17,19,12,11,7,15,17,9,14,12,13,10,12,10,12,14,21,15,19,11,11,11,20,26,15,15,18,11,15,6,15,26,14,10,11,12,17,5,12,35,19,20,5,11,9,8,16,11,9,8,21,21,10,15,15,7,14,15,9,8,9,4,8,8,10,7,6,4,6,9,8,18,10,8,12,12,23,10,18,13,20,8,13,18,11,20,16,17,7,13,18,20,11,13,12,9,11,16,12,14,3
"16",10,9,14,16,14,10,11,9,12,19,10,9,14,7,11,14,8,10,11,33,12,15,8,11,19,19,17,8,16,16,10,17,8,12,25,10,8,24,12,21,9,18,39,40,15,12,23,11,11,24,13,5,13,12,16,9,15,9,9,12,20,12,11,19,11,10,11,13,11,6,4,10,14,13,12,12,5,24,18,19,10,10,9,12,10,16,24,20,21,10,14,13,12,24,26,11,20,16,12,10,15,23,9,2
"17",10,13,12,13,15,15,14,12,8,14,10,12,15,7,11,6,11,11,12,37,11,26,8,12,10,20,21,17,22,12,14,14,8,19,27,13,14,25,19,17,7,17,49,48,7,11,21,20,8,24,5,5,12,16,14,15,20,16,15,13,16,10,20,16,15,7,12,11,8,12,7,10,14,6,13,10,7,32,19,20,12,14,14,10,7,18,18,10,19,14,16,11,20,14,24,13,21,16,13,13,14,16,13,0
"18",6,15,13,19,20,11,19,16,15,20,7,15,8,13,15,16,9,14,18,20,15,18,15,21,34,25,22,25,38,16,22,32,18,26,25,18,29,25,17,23,22,34,44,23,17,13,20,19,11,25,16,13,14,22,24,13,17,19,15,16,17,12,17,18,8,13,10,12,23,21,17,14,12,12,20,21,11,29,11,22,19,27,22,25,22,23,27,10,15,12,19,19,22,21,27,22,17,21,17,21,19,23,22,8
"19",11,30,29,18,33,26,18,19,27,17,14,32,17,21,17,21,22,20,20,12,31,24,18,16,28,45,31,19,27,32,30,28,20,27,46,27,38,20,26,29,27,29,41,36,34,21,18,19,24,19,30,10,17,23,25,20,34,23,19,28,31,28,25,15,19,13,16,20,29,17,21,17,14,12,20,23,6,74,34,28,21,29,28,21,23,24,29,31,18,28,29,25,26,27,27,26,24,14,16,26,28,29,43,8
"20",24,30,45,37,51,37,31,26,35,17,18,17,35,30,20,24,19,30,28,35,18,18,23,33,36,111,59,36,41,35,39,27,42,25,37,36,47,42,32,32,28,28,43,57,36,31,19,29,18,33,46,25,25,47,41,42,97,38,38,37,50,29,31,25,29,26,42,24,40,27,22,25,40,41,33,28,6,134,59,62,44,41,32,31,23,28,34,24,28,20,32,47,26,30,33,24,37,23,18,25,37,46,56,16
"21",24,36,41,36,100,64,53,42,40,22,16,34,34,33,17,33,35,30,36,45,28,51,42,41,51,191,77,61,48,49,50,28,39,34,44,27,37,40,31,51,30,46,44,39,39,30,29,25,21,34,36,24,26,53,31,46,138,67,41,33,48,31,25,26,33,27,34,23,55,23,13,23,28,36,49,41,10,257,92,84,45,45,38,40,23,33,45,34,36,30,40,33,32,38,23,29,29,23,22,21,34,42,64,13
"22",36,53,49,54,99,80,66,42,55,39,32,29,43,29,36,40,33,36,30,46,36,44,42,34,81,147,98,62,53,63,59,41,48,32,59,49,42,34,44,42,38,52,66,53,50,31,33,29,16,50,43,31,30,55,41,36,111,65,57,58,60,35,42,28,41,32,27,35,44,34,31,34,42,32,50,36,7,249,108,84,71,60,60,40,24,43,55,29,36,34,48,39,33,49,50,40,34,25,29,33,51,44,52,19
"23",27,39,44,48,74,60,68,58,49,39,15,37,49,42,34,49,56,33,32,45,41,46,34,46,72,150,64,80,61,65,52,47,52,42,77,50,39,55,69,41,50,42,59,59,39,40,38,44,25,45,36,25,31,69,45,55,115,55,55,51,73,44,34,40,39,26,27,27,29,38,25,26,29,27,35,33,5,217,95,91,53,59,69,26,38,47,58,34,44,36,60,46,29,38,40,52,31,33,32,44,42,35,55,11
"24",37,39,57,49,65,44,63,49,51,62,28,32,57,24,32,37,43,36,32,41,37,22,35,43,55,115,76,66,65,67,49,43,56,59,70,37,61,46,74,60,57,52,53,63,49,24,38,35,38,49,35,22,33,58,40,38,96,66,67,39,81,50,37,30,46,39,34,47,53,39,32,32,37,47,35,46,4,206,73,75,40,78,77,29,34,52,67,41,47,40,53,58,52,41,40,36,33,42,42,49,44,42,60,17
"25",54,51,46,63,66,58,45,53,61,42,33,42,68,41,38,41,45,41,42,30,48,50,44,51,50,105,60,63,35,62,64,47,42,65,77,60,63,54,79,53,54,50,79,69,63,30,45,52,28,49,57,27,33,47,47,36,68,43,47,41,62,33,46,30,38,36,37,42,45,43,28,33,35,36,47,46,6,138,54,77,45,52,58,47,28,49,77,39,63,56,65,54,31,45,54,62,48,33,42,55,48,53,66,21
"26",36,48,58,45,66,32,50,53,51,34,33,54,66,63,32,38,34,34,39,32,41,51,34,38,60,73,51,48,41,62,38,35,43,46,63,57,56,46,67,77,41,62,56,72,43,34,37,53,38,43,50,35,46,53,48,34,72,54,46,43,60,40,54,32,42,40,43,46,47,42,38,40,40,44,50,39,8,134,58,73,60,51,54,45,36,57,78,59,43,53,69,52,61,60,55,51,46,32,37,61,42,44,66,17
"27",39,35,66,45,62,46,41,58,62,43,44,52,59,43,39,47,40,36,45,39,39,40,32,46,48,88,42,45,42,55,44,35,52,56,60,52,38,39,71,59,44,42,66,58,45,29,33,51,32,51,33,31,42,50,41,36,78,43,43,39,56,40,45,35,50,29,31,38,43,36,36,38,40,42,39,46,9,98,55,87,42,43,48,38,30,63,61,44,55,41,57,69,66,56,61,55,55,46,58,51,46,42,57,22
"28",38,51,46,39,61,55,38,51,51,56,42,33,49,43,47,41,52,30,37,32,44,42,29,43,48,55,47,42,36,41,53,36,43,48,63,38,58,40,56,65,45,49,72,64,58,38,35,47,34,45,40,23,42,53,48,39,60,34,35,48,52,32,40,41,40,35,38,33,50,43,24,30,38,45,48,37,10,86,62,79,48,36,52,33,31,41,66,33,48,60,72,51,56,45,40,48,37,36,32,37,51,60,56,14
"29",29,52,48,48,46,36,60,40,45,46,30,61,60,45,35,39,53,35,18,42,51,39,35,39,53,47,38,44,37,50,62,47,51,46,56,36,38,46,65,63,49,48,45,48,55,50,54,40,31,45,37,35,40,49,48,40,44,36,33,40,52,29,43,42,46,28,41,40,41,33,21,47,36,35,32,36,7,78,47,80,37,44,49,36,28,29,57,32,54,31,49,52,50,53,61,58,47,63,37,42,46,41,51,21
"30",31,52,67,37,53,52,47,41,46,38,46,40,45,49,39,43,59,36,38,49,50,45,28,52,45,57,33,46,44,61,32,43,38,40,47,48,41,40,52,49,43,54,67,60,44,46,55,48,29,46,42,27,38,51,51,37,51,36,31,52,47,41,32,44,44,35,41,51,41,46,32,33,38,45,49,36,8,84,62,88,31,43,45,38,29,46,59,34,48,35,53,46,41,44,40,40,50,44,35,51,52,44,50,25
"31",35,53,48,61,50,48,43,55,51,54,36,42,48,27,47,41,46,36,35,35,47,46,31,34,43,37,43,41,36,57,38,48,39,39,45,37,41,36,43,42,44,49,54,46,37,37,42,40,29,47,32,28,41,60,35,45,68,29,19,40,46,37,36,36,44,33,23,52,42,49,19,27,22,30,34,35,7,76,67,57,40,34,34,29,31,43,55,45,38,36,60,54,53,30,44,42,43,27,28,46,43,53,30,21
"32",35,44,52,50,59,31,39,40,45,47,30,52,51,56,37,41,46,29,24,39,53,52,31,35,50,46,39,36,25,47,38,26,39,30,29,43,43,43,40,45,48,57,37,36,40,29,47,41,26,49,39,33,44,44,52,31,50,34,23,45,39,33,33,32,29,35,34,38,35,37,23,35,24,42,21,39,3,73,63,76,35,41,46,37,34,39,63,28,39,42,33,41,46,44,44,39,42,31,31,57,39,47,52,10
"33",34,52,37,37,56,34,39,40,55,35,26,44,50,44,36,49,42,36,32,31,47,37,32,30,41,46,37,50,32,54,40,27,35,31,36,45,48,38,47,57,41,44,46,49,34,35,34,34,23,43,38,28,44,49,38,33,61,46,40,44,50,33,32,36,44,32,38,46,39,37,25,25,37,30,31,39,2,74,65,85,32,39,37,34,31,41,48,39,42,42,38,47,45,34,43,24,52,32,39,43,46,56,52,22
"34",28,30,58,35,50,47,37,33,39,50,33,48,58,41,36,51,38,27,38,33,55,36,35,27,48,39,34,52,47,44,34,41,52,38,50,36,36,31,46,49,42,39,34,39,40,32,35,41,29,46,44,29,21,43,48,20,44,23,30,37,40,41,42,36,43,42,29,40,37,47,23,42,35,27,35,47,4,69,65,76,43,27,42,27,32,28,43,30,49,38,42,42,57,44,48,37,35,41,36,41,63,51,42,16
"35",28,44,38,42,41,49,43,38,45,43,41,42,55,48,25,50,43,34,37,25,40,38,27,36,51,41,39,39,42,37,27,43,39,45,57,30,38,28,56,43,46,52,43,31,32,25,24,43,16,26,38,16,25,41,37,34,55,28,26,46,40,44,32,36,28,28,39,53,50,36,21,27,32,30,46,35,13,55,54,85,29,47,33,36,27,42,34,31,45,35,52,34,42,39,43,45,39,31,40,43,40,42,31,22
"36",39,35,41,34,30,36,34,31,44,43,32,38,47,35,34,51,33,37,31,34,38,37,32,33,55,48,33,37,37,44,35,27,29,30,40,28,30,34,43,36,35,46,39,33,38,24,39,35,22,42,31,23,41,47,54,23,60,30,26,44,42,29,42,27,33,28,38,41,42,38,24,24,28,23,38,28,8,53,68,83,35,41,31,44,18,32,55,31,52,37,50,30,43,47,47,31,25,37,32,40,52,46,38,18
"37",28,38,49,39,39,24,31,38,27,45,32,34,32,35,36,42,45,30,30,25,44,25,26,40,32,36,37,27,30,38,35,41,25,34,48,38,44,30,41,33,39,33,38,41,43,37,38,44,28,41,32,24,28,39,40,32,34,27,26,56,31,30,36,22,33,22,29,38,41,26,19,34,38,19,34,42,9,74,48,76,33,37,24,38,26,40,37,28,38,33,39,28,51,41,47,28,34,25,34,36,68,53,38,14
"38",17,38,29,36,37,32,33,24,37,34,34,44,33,41,36,37,27,27,27,36,34,30,29,28,41,57,33,34,34,47,36,24,24,28,30,49,36,31,62,24,27,32,35,30,31,31,36,31,23,27,33,19,29,53,30,19,50,22,23,30,42,26,45,38,24,34,34,27,35,16,21,28,16,24,32,28,7,63,56,76,33,38,33,32,21,36,36,16,43,23,42,31,49,33,34,29,37,40,27,31,34,38,41,24
"39",18,45,33,30,43,27,24,42,32,37,32,35,44,25,34,27,33,30,25,21,34,36,20,37,43,39,41,31,42,37,31,32,24,23,36,28,30,37,43,38,22,29,29,30,29,28,22,28,18,31,33,13,30,39,28,27,38,22,31,33,45,31,37,34,24,28,38,22,31,24,23,33,25,31,30,26,6,67,57,65,23,41,34,27,18,30,42,26,41,30,30,29,36,37,38,22,34,23,20,38,40,46,35,14
"40",27,26,41,23,42,26,28,26,39,25,27,28,29,32,28,37,27,24,25,29,47,32,20,26,48,36,37,26,33,29,30,20,30,32,38,37,28,32,37,38,25,25,34,34,21,28,41,29,17,31,31,14,25,36,44,17,45,28,21,34,24,25,31,27,25,27,22,24,33,27,19,31,29,22,18,29,6,54,58,62,22,25,27,33,30,31,31,18,42,31,33,25,44,35,39,31,18,24,39,39,42,43,36,17
